Date,Price
07/31/25,632.08
06/30/25,617.85
05/30/25,589.39
04/30/25,554.54
03/31/25,559.39
02/28/25,594.18
01/31/25,601.82
12/31/24,586.08
11/29/24,602.55
10/31/24,568.64
09/30/24,573.76
08/30/24,563.68
07/31/24,550.81
06/28/24,544.22
05/31/24,527.37
04/30/24,501.98
03/28/24,523.07
02/29/24,508.08
01/31/24,482.88
12/29/23,475.31
11/30/23,456.40
10/31/23,418.20
09/29/23,427.48
08/31/23,450.35
07/31/23,457.79
06/30/23,443.28
05/31/23,417.85
04/28/23,415.93
03/31/23,409.39
02/28/23,396.26
01/31/23,406.48
12/30/22,382.43
11/30/22,407.68
10/31/22,386.21
09/30/22,357.18
08/31/22,395.18
07/29/22,411.99
06/30/22,377.25
05/31/22,412.93
04/29/22,412.00
03/31/22,451.64
02/28/22,436.63
01/31/22,449.91
12/31/21,474.96
11/30/21,455.56
10/29/21,459.25
09/30/21,429.14
08/31/21,451.56
07/30/21,438.51
06/30/21,428.06
05/28/21,420.04
04/30/21,417.30
03/31/21,396.33
02/26/21,380.36
01/29/21,370.07
12/31/20,373.88
11/30/20,362.06
10/30/20,326.54
09/30/20,334.89
08/31/20,349.31
07/31/20,326.52
06/30/20,308.36
05/29/20,304.32
04/30/20,290.48
03/31/20,257.75
02/28/20,296.26
01/31/20,321.73
12/31/19,321.86
11/29/19,314.31
10/31/19,303.33
09/30/19,296.77
08/30/19,292.45
07/31/19,297.43
06/28/19,293.00
05/31/19,275.27
04/30/19,294.02
03/29/19,282.48
02/28/19,278.68
01/31/19,269.93
12/31/18,249.92
11/30/18,275.65
10/31/18,270.63
09/28/18,290.72
08/31/18,290.31
07/31/18,281.33
06/29/18,271.28
05/31/18,270.94
04/30/18,264.51
03/29/18,263.15
02/28/18,271.65
01/31/18,281.90
12/29/17,266.86
11/30/17,265.01
10/31/17,257.15
09/29/17,251.23
08/31/17,247.49
07/31/17,246.77
06/30/17,241.80
05/31/17,241.44
04/28/17,238.08
03/31/17,235.74
02/28/17,236.47
01/31/17,227.53
12/30/16,223.53
11/30/16,220.38
10/31/16,212.55
09/30/16,216.30
08/31/16,217.38
07/29/16,217.12
06/30/16,209.48
05/31/16,209.84
04/29/16,206.33